brand	model	area	brand_name	model_name
samsung	SM-N950N	cn	三星	Galaxy Note 8
huawei	DVC-AN20	cn	华为	Enjoy 20 Pro
huawei	STK-AL00	cn	华为	Enjoy 10 Plus
oppo	STK-AL00	cn	oppo	A5
oppo	PFUM10	cn	oppo	A96
huawei	ART-AL00x	cn	华为	Enjoy 10
meizu	M975Q	cn	魅族	M5c
huawei	DVC-AN00	cn	华为	Enjoy 20 Pro
huawei	JKM-AL00b	cn	华为	Y9
oppo	PBAT00	cn	oppo	A5
huawei	PPA-AL20	cn	华为	Enjoy 20 SE
oppo	PBBM30	cn	oppo	A5
huawei	WKG-AN00	cn	华为	Enjoy 20 5G
huawei	FRL-AN00a	cn	华为	Enjoy 20 Plus
huawei	AQM-AL00	cn	华为	Enjoy 10s
huawei	JKM-AL00a	cn	华为	Y9
huawei	JKM-AL00	cn	华为	Y9
huawei	ART-AL00m	cn	华为	Enjoy 10
huawei	DUB-TL00	cn	华为	Y7 pro
huawei	POT-AL10	cn	华为	enjoy 9s
huawei	MGA-AL00	cn	华为	mate 9
huawei	DUB-AL00a	cn	华为	Enjoy 9
huawei	DVC-TN20	cn	华为	Enjoy 20 Pro 5G
huawei	FLA-AL10	cn	华为	Y9
huawei	POT-AL00a	cn	华为	enjoy 9s
huawei	DUB-AL00	cn	华为	enjoy 9
huawei	AQM-AL00	cn	华为	enjoy 10s
meizu	M1822	cn	魅族	note 8
samsung	SM-G9600	cn	三星	Galaxy S9 全网通版
samsung	SM-G9608	cn	三星	Galaxy S9 4G+
samsung	SM-G9650	cn	三星	Galaxy S9+
samsung	SM-G955F	cn	三星	Galaxy S8+
samsung	SM-G977N	cn	三星	Galaxy S10+
samsung	SM-G988N	cn	三星	Galaxy S20
samsung	SM-N976N	cn	三星	Galaxy Note 10+ 5G
samsung	SM-G9600	cn	三星	Galaxy S9
samsung	SM-G975U1	cn	三星	Galaxy S10+
samsung	SM-G950F	cn	三星	Galaxy S8
samsung	SM-N950F	cn	三星	Galaxy Note 8
samsung	SM-G935L	cn	三星	Galaxy S7
samsung	SM-G781B	cn	三星	Galaxy S20 FE 5G
samsung	sm-j200g	cn	三星	Galaxy J2
samsung	SM-A908N	cn	三星	Galaxy A90 5G
samsung	SM-G965F	cn	三星	Galaxy S9+
samsung	SM-N986B	cn	三星	Galaxy Note20 Ultra 5G
samsung	SM-N975F	cn	三星	Galaxy Note10+
samsung	SM-N950U1	cn	三星	Galaxy Note 8
samsung	SM-G935F	cn	三星	Galaxy S7 edge
oppo	PBAM00	cn	oppo	A5
oppo	PGBM10	cn	oppo	A11
apple	iPad13,17	en	苹果	Apple iPad Air 5nd Gen